1250,2.81359e+07,-33.0071
1265,2.72498e+07,-32.7886
1280,2.63802e+07,-32.5708
1295,2.55271e+07,-32.3536
1310,2.46903e+07,-32.1372
1325,2.38699e+07,-31.9214
1340,2.30659e+07,-31.7063
1355,2.22781e+07,-31.4917
1370,2.15065e+07,-31.278
1385,2.07511e+07,-31.0648
1400,2.00118e+07,-30.8523
1415,1.92887e+07,-30.6404
1430,1.85814e+07,-30.4293
1445,1.789e+07,-30.2187
1460,1.72143e+07,-30.0087
1475,1.65543e+07,-29.7995
1490,1.591e+07,-29.5907
1505,1.52812e+07,-29.3827
1520,1.46676e+07,-29.1751
1535,1.40694e+07,-28.9683
1550,1.34863e+07,-28.7621
1565,1.29182e+07,-28.5565
1580,1.2365e+07,-28.3513
1595,1.18265e+07,-28.1469
1610,1.13027e+07,-27.943
1625,1.07934e+07,-27.7397
1640,1.02983e+07,-27.5368
1655,9.81753e+06,-27.3348
1670,9.35075e+06,-27.1331
1685,8.89787e+06,-26.932
1700,8.45873e+06,-26.7315
1715,8.03319e+06,-26.5316
1730,7.62105e+06,-26.3323
1745,7.22219e+06,-26.1335
1760,6.83641e+06,-25.9352
1775,6.46358e+06,-25.7374
1790,6.1035e+06,-25.5402
1805,5.75602e+06,-25.3435
1820,5.42095e+06,-25.1473
1835,5.09814e+06,-24.9518
1850,4.78738e+06,-24.7566
1865,4.48853e+06,-24.5621
1880,4.20139e+06,-24.3679
1895,3.92579e+06,-24.1743
1910,3.66154e+06,-23.9814
1925,3.40846e+06,-23.7887
1940,3.16637e+06,-23.5968
1955,2.93508e+06,-23.4053
1970,2.71441e+06,-23.2142
1985,2.50416e+06,-23.0237
2000,2.30417e+06,-22.8336
2015,2.11423e+06,-22.6439
2030,1.93417e+06,-22.4549
2045,1.76378e+06,-22.2663
2060,1.6029e+06,-22.0781
2075,1.45131e+06,-21.8905
2090,1.30883e+06,-21.7034
2105,1.17529e+06,-21.5166
2120,1.05047e+06,-21.3304
2135,934205,-21.1446
2150,826292,-20.9594
2165,726546,-20.7745
2180,634776,-20.5902
2195,550792,-20.4062
2210,474406,-20.2228
2225,405430,-20.0397
2240,343673,-19.8572
2255,288949,-19.6751
2270,241069,-19.4934
2285,199847,-19.3122
2300,165097,-19.1312
2315,136631,-18.951
2330,114266,-18.7711
2345,97816.3,-18.5915
2360,87098.7,-18.4125
2375,81930.1,-18.2338
2390,82128.4,-18.0556
2405,87512.7,-17.8779
2420,97902.6,-17.7004
2435,113119,-17.5236
2450,132984,-17.347
2465,157320,-17.171
2480,185951,-16.9952
2495,218702,-16.82
2510,255401,-16.6452
2525,295874,-16.4708
2540,339949,-16.2968
2555,387458,-16.123
2570,438232,-15.9498
2585,492103,-15.7771
2600,548906,-15.6046
2615,608476,-15.4326
2630,670652,-15.2611
2645,735270,-15.0898
