1500 1.54542e+07 -41758.7 67.0677 537.629 296.38 297643
1550 1.34481e+07 -38454 66.0933 544.091 301.904 285396
1600 1.16088e+07 -35149.3 65.119 550.301 307.328 274108
1650 9.93149e+06 -31960.5 62.6409 551.683 312.473 266610
1700 8.41092e+06 -28881.6 60.4233 553.315 317.362 260270
1750 7.04136e+06 -25920.8 58.0019 553.792 321.993 255639
1800 5.81679e+06 -23083 55.4924 553.435 326.369 252465
1850 4.73093e+06 -20372.9 52.8974 552.221 330.495 250670
1900 3.7773e+06 -17794.6 50.2247 550.145 334.373 250185
1950 2.94922e+06 -15351.4 47.4955 547.249 338.007 250931
2000 2.23987e+06 -13045.6 44.7341 543.591 341.401 252827
2050 1.64235e+06 -10878.5 41.941 539.147 344.56 255840
2100 1.14968e+06 -8851.76 39.1291 533.939 347.488 259931
2150 754830 -6965.6 36.3181 528.017 350.192 265049
2200 450779 -5219.86 33.5125 521.378 352.676 271181
2250 230511 -3614.11 30.7218 514.037 354.945 278312
2300 87053.3 -2147.24 27.9572 506.02 357.005 286428
2350 13495.5 -817.839 25.2252 497.333 358.862 295537
2400 3009.14 375.96 22.5342 487.996 360.522 305648
2450 48868.5 1436.39 19.8915 478.022 361.989 316780
2500 144468 2366.02 17.3035 467.422 363.271 328966
2550 283339 3167.75 14.7763 456.209 364.373 342250
2600 459165 3844.79 12.317 444.402 365.301 356685
2650 665798 4400.65 9.92947 432.003 366.061 372349
2700 897272 4839.03 7.61941 419.027 366.659 389331
2750 1.14781e+06 5163.98 5.39246 405.49 367.102 407741
2800 1.41185e+06 5379.74 3.25357 391.407 367.396 427716
2850 1.68404e+06 5490.87 1.20715 376.791 367.547 449426
2900 1.95927e+06 5501.98 -0.748042 361.612 367.562 473128
2950 2.23265e+06 5417.78 -2.60023 345.943 367.448 499031
3000 2.49955e+06 5243.73 -4.34637 329.796 367.211 527460
3050 2.75561e+06 4984.9 -5.98719 313.15 366.858 558881
3100 2.99672e+06 4646.87 -7.51572 296.056 366.397 593783
3150 3.21907e+06 4235.21 -8.93179 278.505 365.835 632901
3200 3.41911e+06 3755.69 -10.2283 260.566 365.179 677046
3250 3.59361e+06 3214.45 -11.4003 242.307 364.437 727290
3300 3.73963e+06 2617.71 -12.4495 223.721 363.618 785269
3350 3.85456e+06 1971.68 -13.369 204.937 362.728 852833
3400 3.93609e+06 1283.18 -14.1411 186.343 361.778 931432
3450 3.98228e+06 558.817 -14.8475 166.467 360.775 1.03191e+06
3500 3.99149e+06 -198 -15.3012 149.311 359.725 1.13947e+06
3550 3.96248e+06 -971.3 -15.606 133.514 358.648 1.2615e+06
3600 3.89436e+06 -1758.6 -15.471 128.258 357.549 1.31467e+06
3650 3.78662e+06 -2518.4 -15.1502 128.395 356.485 1.32294e+06
3699 3.64252e+06 -3273.62 -14.7984 129.8 355.424 1.32021e+06
